compound_id,scenario,metric,value
295,v4_ML,abs_log2,1.0318
308,v4_ML,abs_log2,0.8309
323,v4_ML,abs_log2,2.6767
332,v4_ML,abs_log2,0.5980
366,v4_ML,abs_log2,0.8793
394,v4_ML,abs_log2,0.7767
413,v4_ML,abs_log2,2.5218
471,v4_ML,abs_log2,0.7777
488,v4_ML,abs_log2,0.7539
637,v4_ML,abs_log2,0.9304
674,v4_ML,abs_log2,1.2201
703,v4_ML,abs_log2,1.2870
739,v4_ML,abs_log2,0.3593
781,v4_ML,abs_log2,0.8637
787,v4_ML,abs_log2,2.2803
800,v4_ML,abs_log2,0.9157
811,v4_ML,abs_log2,1.3171
832,v4_ML,abs_log2,2.2573
875,v4_ML,abs_log2,0.4869
907,v4_ML,abs_log2,0.4937
938,v4_ML,abs_log2,2.2161
963,v4_ML,abs_log2,1.2614
967,v4_ML,abs_log2,0.9204
973,v4_ML,abs_log2,0.8005
1001,v4_ML,abs_log2,0.4409
1009,v4_ML,abs_log2,1.2927
1018,v4_ML,abs_log2,1.6844
1041,v4_ML,abs_log2,0.5500
1094,v4_ML,abs_log2,1.9168
1095,v4_ML,abs_log2,2.7720
1197,v4_ML,abs_log2,0.9888
1245,v4_ML,abs_log2,1.4149
1293,v4_ML,abs_log2,3.0490
1300,v4_ML,abs_log2,1.6409
1319,v4_ML,abs_log2,2.4145
1323,v4_ML,abs_log2,2.1104
1341,v4_ML,abs_log2,2.0510
52,v0_run0,abs_log2,0.1012
172,v0_run0,abs_log2,0.6914
177,v0_run0,abs_log2,0.7808
184,v0_run0,abs_log2,0.8286
295,v0_run0,abs_log2,0.3407
308,v0_run0,abs_log2,1.1101
323,v0_run0,abs_log2,0.3358
332,v0_run0,abs_log2,0.2167
366,v0_run0,abs_log2,0.6691
394,v0_run0,abs_log2,1.5247
413,v0_run0,abs_log2,1.1799
471,v0_run0,abs_log2,1.3299
488,v0_run0,abs_log2,0.6537
637,v0_run0,abs_log2,0.5316
674,v0_run0,abs_log2,1.7364
703,v0_run0,abs_log2,1.5936
739,v0_run0,abs_log2,0.3066
781,v0_run0,abs_log2,0.2597
787,v0_run0,abs_log2,3.2923
800,v0_run0,abs_log2,0.5611
811,v0_run0,abs_log2,0.1990
832,v0_run0,abs_log2,1.5500
875,v0_run0,abs_log2,0.3248
907,v0_run0,abs_log2,0.8839
938,v0_run0,abs_log2,0.7838
963,v0_run0,abs_log2,0.8215
967,v0_run0,abs_log2,0.1766
973,v0_run0,abs_log2,0.2289
1001,v0_run0,abs_log2,0.5906
1009,v0_run0,abs_log2,0.8425
1018,v0_run0,abs_log2,0.2662
1041,v0_run0,abs_log2,0.2586
1094,v0_run0,abs_log2,0.5892
1095,v0_run0,abs_log2,0.6284
1197,v0_run0,abs_log2,0.3467
1245,v0_run0,abs_log2,0.7407
1293,v0_run0,abs_log2,1.5181
1300,v0_run0,abs_log2,0.6373
1319,v0_run0,abs_log2,0.2730
1323,v0_run0,abs_log2,0.7434
1341,v0_run0,abs_log2,0.4942
52,h2_run2,abs_log2,2.9176
172,h2_run2,abs_log2,0.9414
177,h2_run2,abs_log2,0.7310
184,h2_run2,abs_log2,0.6836
