PUBCHEM_CID,SMILES,lgCL,lgVD,lgFu,CL_train_test,VD_train_test,Fu_train_test
2443,CN1CC(C=C2C1CC1=C(Br)NC3=CC=CC2=C13)C(=O)NC1(OC2(O)C3CCCN3C(=O)C(CC(C)C)N2C1=O)C(C)C,,,-1.609182141,,,train
2446,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,-0.107905397,0.491361694,-0.221848746,train,train,train
2451,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,-0.920818754,-0.124938737,-1.026872146,train,train,train
2467,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,-0.473660723,0.113943352,-0.397940009,train,train,train
2468,CCCCNC(=N)NC(=N)N,-0.403622856,0.264817823,-0.045757495,train,train,train
2471,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,-0.823908741,-0.795880017,-0.853871964,test,test,test
2472,CCCC(=O)N1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,-0.540607512,-0.142667504,-1.273001271,train,train,train
2474,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,-0.622381568,-0.107905397,-1.301029996,train,train,test
2477,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,,,-0.975584955,,,train
2478,CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.841637508,-0.259637311,-0.170053304,train,train,train
2479,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,,,-0.130768277,,,train
2512,CN(C)CCCN(C(=O)C1CN(CC=C)C2CC3=CNC4=CC=CC(C2C1)=C34)C(=O)NCC,,,-0.229147999,,,train
2518,OC(=O)C=CC1=CC(O)=C(O)C=C1,,,-0.468521083,,,train
2519,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-1.075720714,-0.200659451,-0.193820026,train,train,train
2520,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.033423755,0.568201724,-1.0,train,train,train
2524,CC(C)(O)CCCC(C)C1CCC2C(CCCC21C)=CC=C1CC(O)CC(O)C1=C,,,-1.778151242,,,train
2528,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,-0.790484985,-0.769551079,0.0,train,train,test
2538,CCC1(O)C2C=C3C4=NC5C=CC=CC=5C=C4CN3C(=O)C=2COC1=O,,,-1.732828272,,,train
2540,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,-2.0,,,train
2541,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-1.653647026,-0.886056648,-2.602059991,test,test,test
2543,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,0.029789471,1.229937686,,train,train,
2554,NC(=O)N1c2ccccc2C=Cc2ccccc21,-1.1638568,0.028222562,-0.439986227,train,train,train
2560,CC1(C)SC2C(NC(=O)C(C3C=CC=CC=3)C(O)=O)C(=O)N2C1C(O)=O,,,-0.275539839,,,train
2561,CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC(=O)CCC(O)=O,,,-2.124938737,,,train
2563,CC(CC1C=C(O)C(O)=CC=1)(NN)C(O)=O,,,-0.193820029,,,train
2566,CNC(=O)OC1=CC=CC2CC(C)(C)OC1=2,,,-0.375382856,,,train
2576,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,,,-0.376750715,,,train
2578,O=NN(CCCl)C(=O)NCCCl,0.670245853,0.079181246,-0.638272164,train,train,train
2581,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,-1.514278574,-0.657577319,-2.0,train,train,train
2583,CC(C)(C)NCC(O)COC1C=CC=C2NC(=O)CCC=12,,,-0.070581069,,,train
2584,NC(=O)OCC1C(NC(=O)C(=NOCC(O)=O)C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O,,,-0.142667499,,,train
2585,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,-0.329754147,0.113943352,-1.698970004,train,train,test
2609,NC(C1C=CC=CC=1)C(=O)NC1C2SCC(Cl)=C(C(O)=O)N2C1=O,,,-0.124938737,,,train
2612,CC(=O)OCC1CSC2C(NC(=O)CC3=CC=CS3)C(=O)N2C=1C(O)=O,,,-0.610833913,,,test
2614,CN1N=NN=C1SCC1CSC2C(NC(=O)C(O)C3C=CC=CC=3)C(=O)N2C=1C(O)=O,,,-0.596307666,,,train
2616,CC(=O)OCC1CSC2C(NC(=O)CSC3C=CN=CC=3)C(=O)N2C=1C(O)=O,,,-0.293851411,,,train
2624,CN1N=NN=C1SCC1CSC2C(NC(=O)C(=NOC)C3=CSC(N)=N3)C(=O)N2C=1C(O)=O,,,-0.397940009,,,train
2626,CN1N=NN=C1SCC1CSC2N(C=1C(O)=O)C(=O)C2(NC(=O)CSCC#N)OC,,,-0.719195919,,,train
2628,CC1N=C(SC=1CC(O)=O)SCC1CSC2C(NC(=O)C(=NOC)C3=CSC(N)=N3)C(=O)N2C=1C(O)=O,,,-0.738737131,,,train
2635,CN(C)CCN1N=NN=C1SCC1CSC2C(NC(=O)CC3=CSC(N)=N3)C(=O)N2C=1C(O)=O,,,-0.221848742,,,train
2638,COC1(NC(=O)CC2=CC=CS2)C2SCC(COC(N)=O)=C(C(O)=O)N2C1=O,,,-0.209363038,,,train
2645,CC(C)OC(=O)OC(C)OC(=O)C1=C(CSC2C(NC(=O)C(=NOC)C3=CSC(N)=N3)C(=O)N12)COC,,,-0.148741657,,,train
2646,CC=CC1CSC2C(NC(=O)C(N)C3C=CC(O)=CC=3)C(=O)N2C=1C(O)=O,,,-0.21944268,,,train
2650,CC(C)(ON=C(C1=CSC(N)=N1)C(=O)NC1C2SCC(C[N+]3C=CC=CC=3)=C(C([O-])=O)N2C1=O)C(O)=O,,,-0.089175568,,,train
2654,NC1=NC(=CS1)C(=CCC(O)=O)C(=O)NC1C2SCC=C(C(O)=O)N2C1=O,,,-0.455931962,,,train
2655,CON=C(C1=CSC(N)=N1)C(=O)NC1C2SCC=C(C(O)=O)N2C1=O,,,-0.143673977,,,test
2657,CN1NC(=O)C(=O)N=C1SCC1CSC2C(NC(=O)C(=NOC)C3=CSC(N)=N3)C(=O)N2C=1C(O)=O,,,-1.259637311,,,train
2659,CON=C(C1=CC=CO1)C(=O)NC1C2SCC(COC(N)=O)=C(C(O)=O)N2C1=O,,,-0.207608308,,,train
2662,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-0.402618271,0.787359252,-1.74878644,train,train,train
2663,CC(=O)C1C=C(C=CC=1OCC(O)CNC(C)(C)C)NC(=O)N(CC)CC,,,-0.124938737,,,train
2678,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-1.464886802,-0.430124693,-1.15490196,train,train,train
2684,CC1OC2(CS1)CN1CCC2CC1,-0.11270428,0.745966567,-0.070581069,train,train,test
2691,CCNC(=O)C1OC(C(O)C1O)N1C=NC2=C(N)N=C(NCCC3=CC=C(CCC(O)=O)C=C3)N=C12,,,-0.376647318,,,train
2708,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-0.774690718,-0.585026652,-0.472370099,test,test,test
2710,CN1CCN(CC1)C(C1C=CC=CC=1)C1C=CC(Cl)=CC=1,,,-0.886056648,,,test
2717,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,-3.066946717,-1.301029996,-0.301029996,train,train,train
2719,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-0.609064893,2.146128036,-0.332547047,train,train,train
2720,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,,,-0.522878738,,,train
2725,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,-0.823908741,0.51851394,-0.424812155,train,train,train
2726,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-0.017728767,1.0,-1.408935393,train,train,train
2727,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-2.568636236,-0.721246399,-1.522878745,train,train,train
2728,CC(C)OC(=O)NC1C=C(Cl)C=CC=1,,,-1.367542708,,,train
2729,CN(C)CCC=C1C2=CC=CC=C2SC2C=CC(Cl)=CC=21,,,-2.0,,,train
2730,CCOP(=S)(OC1=NC(Cl)=C(Cl)C=C1Cl)OCC,,,-2.100621237,,,train
2732,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-1.045757491,0.591064607,-0.602059991,train,train,test
2733,O=c1[nH]c2cc(Cl)ccc2o1,,,-0.073143291,,,test
2735,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,,,-0.455931956,,,train
2747,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,-0.287350298,0.612783857,-0.301029996,train,train,train
2749,Cc1cc(C2CCCCC2)n(O)c(=O)c1,,,-1.346787486,,,train
